IDP_R Governorate-7,IDP_R District-7,IDP_R Agency-7,IDP_R Activities-7,Cluster,Status
Erbil,Erbil,UNICEF,Distributing Hygiene Kits,WASH,
Ninewa,Telafar,UNICEF,Distributing Jerry Cans,WASH,
Ninewa,Telafar,UNICEF,Supply & Install Water Tanks,WASH,
Ninewa,Telafar,UNICEF,Supply Aqua-Tabs,WASH,
Ninewa,Telafar,UNICEF,Distributing Family Water Kits,WASH,
Ninewa,Telafar,UNICEF,Supply Water Quality Tester,WASH,
Ninewa,Tilkaif,UNICEF,Supply Water Tanks,WASH,
Ninewa,Akre,UNICEF,Water Tankering,WASH,
Ninewa,Akre,UNICEF,Water Tankering,WASH,
Ninewa,Akre,UNICEF,Water Tankering,WASH,
Erbil,Erbil,UNICEF,Distributing Jerry Cans,WASH,
Ninewa,Tilkaif,UNICEF,Water Tankering,WASH,
Ninewa,Tilkaif,DMC,Water Tankering,WASH,
Ninewa,Shikhan,UNHCR,Distributing Hygiene Kits,WASH,
Ninewa,Hamdaniya,RI,Water Tankering,WASH,
Ninewa,Akre,UNICEF,Water Tankering,WASH,
Ninewa,Akre,UNICEF,Water Tankering,WASH,
Ninewa,Akre,UNICEF,Water Tankering,WASH,
Ninewa,Akre,UNICEF,Water Tankering,WASH,
Ninewa,Akre,UNICEF,Water Tankering,WASH,
Erbil,Shaqlawa,SCI,Distributing Bottled Water,WASH,
Erbil,Erbil,UNICEF,Supply & Install Water Tanks,WASH,
Erbil,Erbil,UNICEF,Distributing Bottled Water,WASH,
Ninewa,Shikhan,Japan Platform,Disributing air coolers,WASH,
Dahuk,Sumel,SCI,Distributing Hygiene Kits,WASH,
Kirkuk,Kirkuk,SCI,Distributing Hygiene Kits,WASH,
Sulaymaniyah,Sulaymaniya,SCI,Distributing Hygiene Kits,WASH,
Dahuk,Sumel,SCI,Distributing Hygiene Kits,WASH,
Dahuk,Sumel,SCI,Distributing Hygiene Kits,WASH,
Ninewa,Tilkaif,UNICEF,Distributing Hygiene Kits,WASH,
Ninewa,Tilkaif,UNICEF,Distributing Hygiene Kits,WASH,
Ninewa,Tilkaif,UNICEF,Distributing Jerry Cans,WASH,
Kirkuk,Kirkuk,UNICEF,Distributing Bottled Water,WASH,
Kirkuk,Kirkuk,UNICEF,Distributing Buckets,WASH,
Kirkuk,Kirkuk,UNICEF,Distributing Cleaning Materials,WASH,
Ninewa,Sinjar,UNICEF,Distributing Cleaning Materials,WASH,
Kirkuk,Kirkuk,UNICEF,Distributing Disinfectant ,WASH,
Ninewa,Sinjar,UNICEF,Distributing Disinfectant ,WASH,
Kirkuk,Kirkuk,UNICEF,Distributing Hygiene Kits,WASH,
Kirkuk,Kirkuk,UNICEF,Distributing Jerry Cans,WASH,
Kirkuk,Kirkuk,UNICEF,Distributing Soap / Toilet Bars,WASH,
Ninewa,Sinjar,UNICEF,Distributing Soap / Toilet Bars,WASH,
Diyala,Khanaqin,UNICEF,Supply & Install Mobile Latrines,WASH,
Diyala,Khanaqin,UNICEF,Supply & Install Mobile Showers,WASH,
Ninewa,Sinjar,UNICEF,Supply & Install Water Tanks,WASH,
Dahuk,Dahuk,UNICEF,Distributing Jerry Cans,WASH,
Dahuk,Dahuk,UNICEF,Supply Aqua-Tabs,WASH,
Dahuk,Dahuk,UNICEF,Supply Pool Testers,WASH,
Dahuk,Dahuk,UNICEF,Supply DPDs,WASH,
Dahuk,Dahuk,UNICEF,Supply Biological Test Kit,WASH,
Dahuk,Dahuk,UNICEF,Supply & Install Water Tanks,WASH,
Erbil,Erbil,UNICEF,Distributing Bottled Water,WASH,
Dahuk,Dahuk,UNICEF,Supply Pool Testers,WASH,
Dahuk,Dahuk,UNICEF,Supply DPDs,WASH,
Dahuk,Dahuk,UNICEF,Supply Biological Test Kit,WASH,
Dahuk,Dahuk,UNICEF,Supply & Install Water Tanks,WASH,
Dahuk,Dahuk,UNICEF,Distributing Jerry Cans,WASH,
Ninewa,Akre,UNICEF,Distributing Hygiene Kits,WASH,
Ninewa,Telafar,UNICEF,Distributing Hygiene Kits,WASH,
Dahuk,Sumel,SCI,Distributing Hygiene Kits,WASH,
Ninewa,Tilkaif,Japan Platform,Constructing well,WASH,
Diyala,Khanaqin,UNICEF,Distributing Bottled Water,WASH,
Diyala,Khanaqin,UNICEF,Supply & Install Water Tanks,WASH,
Diyala,Khanaqin,UNICEF,Supply & Install Mobile Showers,WASH,
Ninewa,Shikhan,UNICEF,Supply & Install Mobile Showers,WASH,
Ninewa,Shikhan,UNICEF,Supply & Install Mobile Latrines,WASH,
Ninewa,Shikhan,UNICEF,Supply Water Tanks,WASH,
Ninewa,Shikhan,UNICEF,Tools,WASH,
Ninewa,Shikhan,UNICEF,GPS reciever,WASH,
Ninewa,Shikhan,UNICEF,Supply Pool Testers,WASH,
Ninewa,Shikhan,UNICEF,Distributing Hygiene Kits,WASH,
Ninewa,Akre,UNHCR,Distributing Hygiene Kits,WASH,
Ninewa,Shikhan,UNICEF,Water Quality Monitoring,WASH,
Diyala,Khanaqin,ICRC,Water Tankering,WASH,
Diyala,Khanaqin,ICRC,Water Tankering,WASH,
Ninewa,Tilkaif,CRS,Distributing Hygiene Kits,WASH,
Ninewa,Akre,CRS,Distributing Hygiene Kits,WASH,
Ninewa,Tilkaif,CRS,Distributing Hygiene Kits,WASH,
Ninewa,Akre,CRS,Distributing Hygiene Kits,WASH,
Ninewa,Sinjar,UNICEF,Water Tankering,WASH,
Ninewa,Akre,SFL,Water Tankering,WASH,
Ninewa,Akre,SFL,Water Tankering,WASH,
Ninewa,Akre,SFL,Distributing Jerry Cans,WASH,
Erbil,Makhmur,UNICEF,Supply Aqua-Tabs,WASH,
Ninewa,Tilkaif,IRC,Supply Aqua-Tabs,WASH,
Ninewa,Tilkaif,IRC,Distributing Jerry Cans,WASH,
Ninewa,Tilkaif,IRC,Supply Aqua-Tabs,WASH,
Ninewa,Tilkaif,IRC,Distributing Jerry Cans,WASH,
Ninewa,Tilkaif,IRC,Supply Aqua-Tabs,WASH,
Ninewa,Tilkaif,IRC,Distributing Jerry Cans,WASH,
Ninewa,Tilkaif,UNICEF,Distributing Jerry Cans,WASH,
Ninewa,Tilkaif,UNICEF,Distributing Jerry Cans,WASH,
Ninewa,Tilkaif,UNICEF,Distributing Jerry Cans,WASH,
Ninewa,Tilkaif,UNICEF,Distributing Jerry Cans,WASH,
Ninewa,Tilkaif,UNICEF,Supply Aqua-Tabs,WASH,
Ninewa,Tilkaif,UNICEF,Supply Aqua-Tabs,WASH,
Ninewa,Tilkaif,UNICEF,Supply Aqua-Tabs,WASH,
Ninewa,Tilkaif,UNICEF,Supply Aqua-Tabs,WASH,
Ninewa,Tilkaif,IRC,Distributing Hygiene Kits,WASH,
Ninewa,Tilkaif,IRC,Distributing Cleaning Materials,WASH,
Ninewa,Tilkaif,IRC,Distributing Hygiene Kits,WASH,
Ninewa,Tilkaif,IRC,Distributing Cleaning Materials,WASH,
Ninewa,Shikhan,IRC,Distributing Hygiene Kits,WASH,
Ninewa,Shikhan,IRC,Distribuiting cleaning kit,WASH,
Dahuk,,IRC,Distributing Hygiene Kits,WASH,
Dahuk,,IRC,Distribuiting cleaning kit,WASH,
Dahuk,,IRC,Distributing Hygiene Kits,WASH,
Dahuk,,IRC,Distribuiting cleaning kit,WASH,
Dahuk,,IRC,Distributing Hygiene Kits,WASH,
Dahuk,,IRC,Distribuiting cleaning kit,WASH,
Ninewa,Tilkaif,IRC,Distributing Hygiene Kits,WASH,
Ninewa,Tilkaif,IRC,Distribuiting cleaning kit,WASH,
Ninewa,Tilkaif,IRC,Distributing Hygiene Kits,WASH,
Ninewa,Tilkaif,IRC,Distribuiting cleaning kit,WASH,
Dahuk,,IRC,Distributing Hygiene Kits,WASH,
Dahuk,,IRC,Distribuiting cleaning kit,WASH,
Ninewa,Sinjar,IRC,Supply & Install Water Tanks,WASH,
Ninewa,Tilkaif,UNICEF,Distributing Jerry Cans,WASH,
Ninewa,Tilkaif,UNICEF,Distributing Jerry Cans,WASH,
Ninewa,Tilkaif,UNICEF,Distributing Jerry Cans,WASH,
Ninewa,Tilkaif,UNICEF,Distributing Jerry Cans,WASH,
Dahuk,Sumel,UNICEF,Distributing Hygiene Kits,WASH,
Dahuk,Sumel,UNICEF,Distributing Hygiene Kits,WASH,
Ninewa,Akre,UNHCR,Distributing Hygiene Kits,WASH,
Dahuk,Sumel,UNICEF,Water Tankering,WASH,
Dahuk,Sumel,UNICEF,Latrine Cleaning at school,WASH,
Dahuk,Sumel,UNICEF,Latrine Cleaning at school,WASH,
